name,code,market
삼성전자,005930,KOSPI
SK하이닉스,000660,KOSPI
LG에너지솔루션,373220,KOSPI
삼성바이오로직스,207940,KOSPI
현대차,005380,KOSPI
기아,000270,KOSPI
셀트리온,068270,KOSPI
POSCO홀딩스,005490,KOSPI
NAVER,035420,KOSPI
카카오,035720,KOSPI
LG화학,051910,KOSPI
삼성SDI,006400,KOSPI
KB금융,105560,KOSPI
신한지주,055550,KOSPI
하나금융지주,086790,KOSPI
삼성물산,028260,KOSPI
현대모비스,012330,KOSPI
LG전자,066570,KOSPI
SK이노베이션,096770,KOSPI
삼성생명,032830,KOSPI
두산에너빌리티,034020,KOSPI
한화에어로스페이스,012450,KOSPI
현대건설,000720,KOSPI
카카오뱅크,323410,KOSPI
하이브,352820,KOSPI
삼성전기,009150,KOSPI
포스코퓨처엠,003670,KOSPI
아모레퍼시픽,090430,KOSPI
한국전력,015760,KOSPI
메리츠금융지주,138040,KOSPI
삼성증권,016360,KOSPI
키움증권,039490,KOSPI
미래에셋증권,006800,KOSPI
한화솔루션,009830,KOSPI
S-Oil,010950,KOSPI
KT,030200,KOSPI
SK텔레콤,017670,KOSPI
LG유플러스,032640,KOSPI
현대글로비스,086280,KOSPI
삼성화재,000810,KOSPI
HD현대중공업,329180,KOSPI
삼성중공업,010140,KOSPI
카카오페이,377300,KOSPI
LG,003550,KOSPI
SK,034730,KOSPI
CJ제일제당,097950,KOSPI
엔씨소프트,036570,KOSPI
크래프톤,259960,KOSPI
현대제철,004020,KOSPI
LG디스플레이,034220,KOSPI
에코프로비엠,247540,KOSDAQ
에코프로,086520,KOSDAQ
HLB,028300,KOSDAQ
알테오젠,196170,KOSDAQ
레인보우로보틱스,277810,KOSDAQ
JYP Ent.,035900,KOSDAQ
에스엠,041510,KOSDAQ
